time,L1-icache-loads,L1-icache-load-misses
0.025058210,3815492,10278
0.050149240,5387425,10426
0.075220311,319862,802
0.100288352,<not counted>,<not counted>
0.125356432,117976,344
0.150422562,252072,657
0.175491512,1253986,3394
0.200562763,4801328,6436
0.225643992,3857059,10086
0.250733703,8419386,9420
0.275821842,4150204,10268
0.300909763,3216042,9305
0.325997743,3144766,9400
0.351085533,3129905,9534
0.376173423,9521838,8147
0.401262243,6716296,10077
0.426350333,3369566,9844
0.451437953,2990726,8627
0.476525883,3271056,10291
0.501613612,3244511,10133
0.526701413,3325701,10451
0.551789073,3232243,10027
0.576868253,3317331,10270
0.601957853,3407216,9676
0.627045743,4205342,9158
0.652135434,20630696,6281
0.677228493,4020400,10565
0.702316224,3365616,9900
0.727404104,3260291,9948
0.752501034,3266121,10180
0.777588784,3296587,9952
0.802676584,3011847,9252
0.827764443,3223341,9422
0.852852214,3241858,9360
0.877939094,3242485,9631
0.903026834,3334335,9645
0.928113085,3174520,9499
0.953201854,3186699,9245
0.978287825,3166375,9255
1.003373994,3098943,9196
1.028461835,3536911,10511
1.053549585,3505611,10151
1.078637685,3447386,10302
1.103725424,3449031,10414
1.128813325,3511699,10443
1.153893875,18895146,6424
1.178976405,33315804,7885
1.204050336,4109070,10558
1.229119525,4124626,10874
1.254185036,3400483,9638
1.279249165,3452976,9635
1.304324426,3389081,9631
1.329412256,3493396,10140
1.354500186,3132632,9061
1.379588245,2965062,5505
1.404674886,30446,35
1.429762046,26198,13
1.454849356,31149,15
1.479949796,25647,27
1.505037566,37746,7
1.516037819,18980690,836
