time,L1-icache-loads,L1-icache-load-misses
0.025069222,10603545,14951
0.050172824,34471,45
0.075260414,14043,40
0.100347855,28222,42
0.125433907,33051,63
0.150521508,29735,51
0.175607698,24442,45
0.200695269,48736,69
0.225781341,27823,41
0.250868303,15448,43
0.275955363,28711,47
0.301041854,35166,69
0.326129626,41534,77
0.351216067,25353,52
0.376303777,39312,55
0.401390268,28745,43
0.426477460,16673,15
0.451564722,29062,43
0.476651223,17393,18
0.501738843,38667,68
0.526825134,26124,51
0.551912896,33420,40
0.576999197,27333,90
0.602086297,21339,61
0.627173539,28928,37
0.652259871,19801,28
0.677347592,36705,56
0.702433872,23998,54
0.727521513,33749,19
0.752607805,24276,33
0.777695456,154353,49
0.802790236,27472,37
0.827876618,19513,47
0.852964599,40677,59
0.878051070,26683,34
0.903138772,31577,33
0.928225242,23395,32
0.953313074,124964,28
0.978400236,29097,43
1.003486646,20348,44
1.028574777,32869,55
1.053660918,27457,53
1.078748950,29251,52
1.103835890,24901,38
1.128923631,122109,25
1.154010813,38394,97
1.179097055,22123,62
1.204184795,32626,49
1.229270986,29053,58
1.254358657,28633,41
1.269780142,951817,3264
