time,L1-icache-loads,L1-icache-load-misses
0.025060133,5081100,10510
0.050163326,29297,59
0.075240288,146120,79
0.100328511,26526,52
0.125414783,27270,19
0.150502566,31956,57
0.175588898,38574,74
0.200676741,33985,53
0.225762863,25528,35
0.250850516,93853,49
0.275941637,27020,50
0.301027821,29105,69
0.326115583,30958,52
0.351201866,25935,90
0.376292628,25817,55
0.401413770,27582,50
0.426501254,68151,55
0.451587545,28823,48
0.476673709,24652,83
0.501761240,41302,89
0.526847283,21226,40
0.551934915,39967,50
0.577021028,25822,56
0.602108670,57749,38
0.627194633,27871,57
0.652280635,26512,159
0.677368168,34362,48
0.702454401,23321,49
0.727541783,38047,50
0.752628536,27789,67
0.777716218,45625,40
0.802810101,28290,61
0.827897143,27963,184
0.852984786,29977,58
0.878070978,24791,48
0.903158591,36455,62
0.928244823,27022,61
0.953332586,30243,56
0.978418898,27840,68
1.003506051,30079,299
1.028593563,27862,57
1.053679846,22711,51
1.078767419,34410,45
1.103853551,27856,57
1.128941074,33421,35
1.154027495,31072,62
1.179113969,42623,253
1.204201530,28939,53
1.229289564,24425,62
1.254377555,33132,46
1.279464079,35886,75
1.282588842,519335,1076
