time,L1-icache-loads,L1-icache-load-misses
0.025069652,6243159,12137
0.050173563,35249,140
0.075261515,28036,49
0.100349247,29073,43
0.125435818,22964,34
0.150523920,35574,59
0.175611032,33028,40
0.200698945,34235,39
0.225785406,25989,35
0.250872698,29749,31
0.275960109,35461,89
0.301046551,19579,30
0.326134412,37209,52
0.351220914,27298,31
0.376308896,32367,42
0.401395369,24113,33
0.426483350,119030,51
0.451571152,27325,37
0.476657494,20046,8
0.501745485,35740,41
0.526837547,27592,55
0.551925298,30125,29
0.577011590,25421,24
0.602099431,159370,79
0.627186734,26883,46
0.652272926,21793,49
0.677360658,34699,57
0.702446899,28002,54
0.727534631,28520,37
0.752621043,25882,47
0.777708794,89625,68
0.802800576,28132,55
0.827887007,25799,46
0.852975969,29376,44
0.878053072,28557,69
0.903141464,26435,45
0.928229655,32396,65
0.953317687,68090,36
0.978404328,28562,67
1.003490880,24741,86
1.028578871,33686,134
1.053665443,21127,41
1.078753756,38994,58
1.103840098,29012,67
1.128928069,55736,50
1.154014671,30490,42
1.179101913,27410,55
1.204189774,29869,28
1.229276166,22088,49
1.254364007,37912,46
1.274658796,887167,2380
