time,L1-icache-loads,L1-icache-load-misses
0.025058715,1879965,5499
0.050157030,4555149,10247
0.075227207,4900387,10019
0.100295283,5971566,9739
0.125362248,3578383,9612
0.150430493,8100632,8594
0.175502818,3620255,9327
0.200570144,3497541,9437
0.225635290,3407900,9328
0.250702946,3481710,9173
0.275768701,12716976,7685
0.300835517,4128833,9985
0.325902112,3507874,9200
0.350966838,3186804,8710
0.376033563,3442259,9386
0.401100799,3391750,9275
0.426165674,3292561,9221
0.451233121,3387183,9298
0.476300206,3339599,9552
0.501368061,10984054,6773
0.526434886,14171234,8131
0.551502262,3976677,10262
0.576568529,3778940,9394
0.601633444,3594360,9486
0.626699679,3611758,9528
0.651766784,3580159,9683
0.676835350,3101590,8434
0.701907296,3484180,9040
0.726979121,3298872,8548
0.752054897,3339760,8471
0.777123472,3306303,8886
0.802190548,3245262,8710
0.827257904,3268833,8742
0.852325019,3194382,8359
0.877391484,3473745,9044
0.902457810,3436948,9051
0.927524307,3488493,9417
0.952590702,3525310,9535
0.977658237,9520078,7699
1.002740962,30886034,2667
1.027823508,6657910,9754
1.052899993,3333968,8559
1.077968279,3433647,8822
1.103035415,3577926,9253
1.128101130,3401537,8981
1.153168375,3473428,9003
1.178233421,3216745,8857
1.203313027,175095,138
1.228400272,30511,15
1.253486647,23992,10
1.278574622,35052,17
1.303660909,34523,26
1.328748514,30862,17
1.334712732,9174867,429
