time,L1-icache-loads,L1-icache-load-misses
0.025069723,5733462,11251
0.050178044,39311,37
0.075266496,125763,48
0.100354378,29010,36
0.125440881,25422,24
0.150528962,33386,118
0.175615444,27377,51
0.200703357,31297,53
0.225789779,24577,29
0.250877600,126039,11
0.275954472,27670,32
0.301039725,39157,249
0.326127657,36042,60
0.351214019,28762,47
0.376301822,29518,42
0.401388143,23630,38
0.426475935,122865,55
0.451563268,26588,25
0.476649640,21990,43
0.501737411,33446,46
0.526823713,29178,70
0.551911536,27750,56
0.576997708,25760,47
0.602085269,81766,47
0.627171562,28846,55
0.652257864,24243,51
0.677345576,33172,43
0.702431957,29780,61
0.727519721,26457,29
0.752606152,26966,40
0.777700944,58939,30
0.802787317,28199,50
0.827873579,26683,96
0.852961320,29784,43
0.878049152,27515,42
0.903138075,38935,55
0.928224327,26218,48
0.953311998,48632,16
0.978398262,28230,57
1.003484693,53082,603
1.028572575,29233,31
1.053659016,23919,37
1.078746600,35820,39
1.103833131,26524,42
1.128920913,40401,15
1.154007376,36157,39
1.179094668,29696,138
1.204182379,28994,27
1.229268591,23525,39
1.254356474,35711,61
1.279442776,31410,49
1.281871043,551669,983
