time,L1-icache-loads,L1-icache-load-misses
0.025069752,5492662,10662
0.050174263,20537,56
0.075262355,105238,99
0.100349917,33175,31
0.125438287,26980,37
0.150525928,45433,116
0.175612439,28620,39
0.200689731,35827,45
0.225776013,25509,56
0.250863594,133055,30
0.275950644,26583,61
0.301036916,28536,108
0.326124627,34366,60
0.351210839,29666,62
0.376298380,28272,63
0.401384541,25462,34
0.426472682,72871,42
0.451558473,27327,31
0.476644825,23851,26
0.501732636,33376,54
0.526818838,33113,58
0.551906429,26219,29
0.576992639,25687,52
0.602080111,61342,26
0.627166432,28916,58
0.652252874,25913,82
0.677340454,33011,55
0.702426655,22180,52
0.727514217,38427,50
0.752600418,26737,43
0.777687970,48777,36
0.802781111,28439,46
0.827867273,32549,110
0.852954943,30002,62
0.878041254,22381,54
0.903128896,35831,43
0.928215208,26386,46
0.953302869,40349,46
0.978389219,28909,58
1.003476390,33101,207
1.028564232,28149,53
1.053650554,22858,36
1.078738295,34439,24
1.103824596,34878,120
1.128912237,35273,36
1.153998418,31060,59
1.179085030,32745,207
1.204172591,29611,43
1.229258823,24135,34
1.254346493,33799,22
1.266017779,1995852,<not counted>
