time,L1-icache-loads,L1-icache-load-misses
0.025069411,1859465,4898
0.050173682,3826104,7220
0.075261932,4069866,6709
0.100350173,5171586,6561
0.125438053,2881446,6540
0.150525884,2963376,6550
0.175613924,7437150,6268
0.200706685,2856862,6745
0.225802606,2836063,6679
0.250890365,2883663,6468
0.275977997,2884665,6386
0.301065887,8125739,6020
0.326153977,6822386,6301
0.351241738,2902662,6628
0.376329568,2899923,6593
0.401417319,2864428,6493
0.426505129,2857453,6593
0.451592730,2787409,6691
0.476680421,2767871,6676
0.501767971,2809393,7017
0.526855752,2832626,7050
0.551944582,2871931,6952
0.577032463,10262444,5779
0.602120713,13764667,5342
0.627208464,2905210,6917
0.652296334,2906076,6739
0.677383965,2894498,6965
0.702471636,2906802,6867
0.727559256,2935640,6725
0.752656487,2893119,7024
0.777744257,2816406,6767
0.802831988,2806270,7198
0.827919678,2881712,6927
0.853007359,2902927,6682
0.878095180,2961781,6926
0.903182909,2901936,6701
0.928270621,2893780,6749
0.953358101,2900229,6867
0.978446032,2901299,6675
1.003533722,2902691,6912
1.028621473,2755505,3603
1.053707973,29885,22
1.078795113,32397,46
1.103882445,29694,11
1.128968465,24754,15
1.154056086,39849,31
1.177765104,11154703,2896
