time,L1-icache-loads,L1-icache-load-misses
0.025070730,802932,2710
0.050166029,3115419,6840
0.075243028,5531311,10712
0.100312607,6008502,10244
0.125380207,3940848,11196
0.150447696,6368341,10038
0.175515136,5952895,10169
0.200583135,4034077,11040
0.225655825,3845876,11021
0.250722944,3703164,10987
0.275790003,12846474,8545
0.300856522,4174146,10485
0.325922972,3623646,10479
0.350989551,3517442,10442
0.376055950,3526369,10438
0.401120780,3494690,10747
0.426187789,3506425,10776
0.451254429,3292695,9702
0.476320448,3699747,11057
0.501386608,15962858,7582
0.526455397,9634878,9337
0.551521716,4136671,10670
0.576587905,3994636,10646
0.601654315,3963720,10753
0.626720854,3525863,10080
0.651787284,3656118,10626
0.676853813,3814136,10657
0.701920043,3832967,10480
0.726986472,3767796,10599
0.752062401,3824398,10560
0.777130781,3592903,9942
0.802197430,3826793,10575
0.827264659,3776820,10599
0.852331628,3817332,10681
0.877398268,3830708,10612
0.902462997,3863605,10707
0.927529647,3545267,9446
0.952595836,14721887,9138
0.977676906,29575723,9375
1.002759705,4115592,10427
1.027836544,4121214,10471
1.052904704,4102140,10652
1.077971793,4108236,10388
1.103038052,3883810,10523
1.128104671,3623316,10059
1.153171541,3233970,6763
1.178249150,25619,16
1.203337090,54789,18
1.228423479,29985,19
1.253511219,13824,0
1.278598318,33166,28
1.294479945,26435149,1220
