time,L1-icache-loads,L1-icache-load-misses
0.025058174,4327370,13210
0.050146409,25569,129
0.075215522,86425,237
0.100280666,22486,155
0.125344179,21229,75
0.150409463,25617,167
0.175471858,25067,168
0.200535851,26134,171
0.225599255,26063,195
0.250677218,67971,300
0.275769843,21870,160
0.300856086,24657,104
0.325943860,24681,191
0.351030153,24728,198
0.376117876,23147,193
0.401204242,21820,183
0.426291845,46870,251
0.451378218,22775,188
0.476464602,16809,84
0.501552225,26162,227
0.526638300,18582,101
0.551725973,31054,193
0.576812387,20806,136
0.601899930,41192,187
0.626986193,21108,190
0.652072508,20083,200
0.677160062,23516,163
0.702246195,16342,139
0.727333798,27508,183
0.752420242,18819,146
0.777515447,30736,192
0.802601790,20192,160
0.827688983,19465,761
0.852776417,20618,198
0.877862750,15960,104
0.902950655,25439,156
0.928036888,18011,142
0.953124702,25946,211
0.978210945,20426,176
1.003298108,21947,645
1.028385604,20301,182
1.053471897,17498,151
1.078559480,24287,197
1.103645784,20860,154
1.128733497,22629,202
1.153819792,22178,179
1.178906745,25659,599
1.203994129,20995,226
1.229080342,18275,164
1.254168045,23637,226
1.279254180,20679,205
1.291386834,9896,84
