time,L1-icache-loads,L1-icache-load-misses
0.025069440,1818952,4764
0.050174841,3774342,6770
0.075263513,4099311,6432
0.100361473,5179924,6544
0.125473774,2540092,5842
0.150569635,2897281,6394
0.175657585,7421713,5921
0.200745597,2882531,6404
0.225833577,2956686,6470
0.250921488,2895084,6427
0.276009470,2892689,6400
0.301097430,6154532,5955
0.326185931,8786582,5654
0.351273942,2893565,6370
0.376361742,2964934,6457
0.401449604,2868143,6214
0.426537474,2790864,6510
0.451625445,2782050,6550
0.476713225,2844823,6573
0.501801007,2786236,6672
0.526880848,2789337,6691
0.551971498,2890367,6441
0.577059550,8838889,5598
0.602147641,15193091,4822
0.627235451,2859560,6708
0.652323313,2878615,6359
0.677411062,2856058,6642
0.702498844,2818800,6707
0.727586586,2778353,6454
0.752683845,2774217,6435
0.777771627,2771704,6610
0.802859488,2800066,6664
0.827947368,2877589,6497
0.853035170,2867189,6524
0.878123030,2815903,6613
0.903211661,2877500,6745
0.928299591,2879280,6387
0.953387402,2873898,6327
0.978476404,2872574,6546
1.003564184,2808982,6308
1.028652385,2635454,4576
1.053739047,34873,30
1.078826987,31807,9
1.103913438,30506,20
1.129000728,10135,70
1.154087880,33448,15
1.179163581,5059488,4116
1.182527722,5255310,301
